"OBJECTID,N,9,0","Region,C,254","Division,C,254","ID,N,19,11","School,C,254","Municipali,C,254","Legislativ,C,254","Total_Enro,N,19,11","Total_Inst,N,19,11","Color_Code,C,254","Barangay,C,254","Province,C,254","District,C,254","Type_of_Sc,C,254","GPS_Source,C,50"
1,NCR,Quezon City,319506.00000000000,National Orthopedic Hospital School for Crippled Children,QUEZON CITY,1st,85.00000000000,8.00000000000,Blue,,NCR SECOND DISTRICT,School District I,School with no Annexes,GPS Pinning (2012)
2,NCR,Pasay City,319602.00000000000,Philippine National School for the Blind,PASAY CITY,Lone,27.00000000000,9.00000000000,Blue,,NCR FOURTH DISTRICT,Pasay City West District,School with no Annexes,GPS Pinning (2012)
3,NCR,Pasay City,319603.00000000000,Philippine School for the Deaf,PASAY CITY,Lone,251.00000000000,84.00000000000,Blue,,NCR FOURTH DISTRICT,Pasay City West District,School with no Annexes,GPS Pinning (2012)
4,NCR,Pasay City,223002.00000000000,Philippine School for the Deaf,PASAY CITY,Lone,260.00000000000,84.00000000000,Blue,,NCR FOURTH DISTRICT,Pasay City West District,School with no Annexes,GPS Pinning (2012)
5,NCR,Pasay City,223001.00000000000,Philippine National School for the Blind,PASAY CITY,Lone,46.00000000000,9.00000000000,Blue,,NCR FOURTH DISTRICT,Pasay City West District,School with no Annexes,GPS Pinning (2012)
6,NCR,Quezon City,222504.00000000000,NOH-School for Crippled Children,QUEZON CITY,1st,71.00000000000,0.00000000000,Black,,NCR SECOND DISTRICT,School District I,Mother school,GPS Pinning (2012)
7,NCR,Caloocan City,223512.00000000000,Bagumbong Elementary School Annex,KALOOKAN CITY,1st,1475.00000000000,14.00000000000,Red,171,NCR THIRD DISTRICT,Caloocan North IV,Annex or Extension school(s),GPS Pinning (2012)
8,NCR,Caloocan City,223501.00000000000,Caloocan North ES,KALOOKAN CITY,1st,5919.00000000000,40.00000000000,Red,179,NCR THIRD DISTRICT,Caloocan North I,School with no Annexes,GPS Pinning (2012)
9,NCR,Caloocan City,223511.00000000000,Rene Cayetano ES (Gabriela Silang ES Annex I),KALOOKAN CITY,1st,2708.00000000000,23.00000000000,Red,176,NCR THIRD DISTRICT,Caloocan North II,Annex or Extension school(s),GPS Pinning (2012)
10,NCR,Las Pi├▒as City,226502.00000000000,CAA ES Annex,CITY OF LAS PI├æAS,Lone,1587.00000000000,14.00000000000,Red,CAA,NCR FOURTH DISTRICT,Las Pi├▒as City I,Annex or Extension school(s),GPS Pinning (2012)
11,NCR,Las Pi├▒as City,226503.00000000000,Talon 3 Elementary School,CITY OF LAS PI├æAS,Lone,1657.00000000000,0.00000000000,Black,,NCR FOURTH DISTRICT,Las Pi├▒as City II,Annex or Extension school(s),GPS Pinning (2012)
12,NCR,Malabon City,136852.00000000000,Acacia ES,CITY OF MALABON,Lone,2681.00000000000,22.00000000000,Red,Acacia,NCR THIRD DISTRICT,Malabon District V,School with no Annexes,GPS Pinning (2012)
13,NCR,Malabon City,136838.00000000000,Ta├▒ong ES I,CITY OF MALABON,Lone,1223.00000000000,13.00000000000,Red,Ta±ong,NCR THIRD DISTRICT,Malabon District II,School with no Annexes,GPS Pinning (2012)
14,NCR,Malabon City,136850.00000000000,Tinajeros ES,CITY OF MALABON,Lone,3347.00000000000,30.00000000000,Red,Tinajeros,NCR THIRD DISTRICT,Malabon District IV,School with no Annexes,GPS Pinning (2012)
15,NCR,Mandaluyong City,136666.00000000000,Eulogio Rodriguez Integrated School,CITY OF MANDALUYONG,Lone,2555.00000000000,39.00000000000,Red,Hagdang Bato Itaas,NCR SECOND DISTRICT,Mandaluyong City District II,School with no Annexes,GPS Pinning (2012)
16,NCR,Mandaluyong City,136668.00000000000,Ilaya Barangka Integrated School,CITY OF MANDALUYONG,Lone,1391.00000000000,33.00000000000,Blue,Barangka Ilaya,NCR SECOND DISTRICT,Mandaluyong City District II,School with no Annexes,GPS Pinning (2012)
17,NCR,Mandaluyong City,224002.00000000000,Jose Fabella Memorial School,CITY OF MANDALUYONG,Lone,1445.00000000000,14.00000000000,Red,,NCR SECOND DISTRICT,Mandaluyong City District II,School with no Annexes,GPS Pinning (2012)
18,NCR,Manila,136418.00000000000,A. C. Herrera ES,TONDO,2nd,906.00000000000,13.00000000000,Red,197,"MANILA, NCR, FIRST DISTRICT",Tondo I,School with no Annexes,GPS Pinning (2012)
19,NCR,Manila,136442.00000000000,R. Almario ES - Isla Puting Bato ES,TONDO,1st,586.00000000000,7.00000000000,Red,Purok 4,"MANILA, NCR, FIRST DISTRICT",Tondo XIII,Annex or Extension school(s),GPS Pinning (2012)
20,NCR,Manila,222001.00000000000,R. Almario ES - Parola Annex,TONDO,1st,600.00000000000,6.00000000000,Red,MICT Compound,"MANILA, NCR, FIRST DISTRICT",Tondo XIII,Annex or Extension school(s),GPS Pinning (2012)
21,NCR,Manila,136475.00000000000,Silahis ng Katarungan Special School,PACO,5th,462.00000000000,9.00000000000,Gold,681,"MANILA, NCR, FIRST DISTRICT",Paco II,School with no Annexes,GPS Pinning (2012)
22,NCR,Manila,136466.00000000000,V. E. Fugoso Memorial School,SAMPALOC,4th,924.00000000000,27.00000000000,Blue,Parang,"MANILA, NCR, FIRST DISTRICT",Sampaloc V,School with no Annexes,GPS Pinning (2012)
23,NCR,Marikina City,136681.00000000000,Fortune ES,CITY OF MARIKINA,2nd,3712.00000000000,35.00000000000,Red,Fortune,NCR SECOND DISTRICT,Marikina City District II,School with no Annexes,GPS Pinning (2012)
24,NCR,Marikina City,136673.00000000000,Kalumpang ES,CITY OF MARIKINA,1st,1264.00000000000,43.00000000000,Blue,Kalumpang,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,GPS Pinning (2012)
25,NCR,Marikina City,136678.00000000000,San Roque ES,CITY OF MARIKINA,1st,1550.00000000000,43.00000000000,Blue,San Roque,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,GPS Pinning (2012)
26,NCR,Marikina City,136687.00000000000,Sto. Nino ES,CITY OF MARIKINA,1st,3308.00000000000,48.00000000000,Red,Sto. Ni±o,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,GPS Pinning (2012)
27,NCR,Muntinlupa City,136912.00000000000,Cupang ES,CITY OF MUNTINLUPA,Lone,2944.00000000000,36.00000000000,Red,Cupang,NCR FOURTH DISTRICT,Muntinlupa City District II,Mother school,GPS Pinning (2012)
28,NCR,Muntinlupa City,228501.00000000000,Itaas Elementary School NBP Annex,CITY OF MUNTINLUPA,Lone,5245.00000000000,48.00000000000,Red,Poblacion,NCR FOURTH DISTRICT,Muntinlupa City District I,Annex or Extension school(s),GPS Pinning (2012)
29,NCR,Muntinlupa City,136907.00000000000,Victoria Homes ES,CITY OF MUNTINLUPA,Lone,1550.00000000000,24.00000000000,Red,Tunasan,NCR FOURTH DISTRICT,Muntinlupa City District I,School with no Annexes,GPS Pinning (2012)
30,NCR,Navotas,136863.00000000000,North Bay Boulevard North Elementary School,CITY OF NAVOTAS,Lone,2100.00000000000,18.00000000000,Red,North Bay Blvd. North,NCR THIRD DISTRICT,Navotas District I,School with no Annexes,GPS Pinning (2012)
31,NCR,Paranaque City,226001.00000000000,Sun Valley ES,CITY OF PARA├æAQUE,2nd,2945.00000000000,24.00000000000,Red,Sun Valley,NCR FOURTH DISTRICT,Paranaque City District II,School with no Annexes,GPS Pinning (2012)
32,NCR,Pasig City,225501.00000000000,Maybunga Elementary School Annex,CITY OF PASIG,Lone,1124.00000000000,18.00000000000,Red,Maybunga,NCR SECOND DISTRICT,Pasig City District V,Annex or Extension school(s),GPS Pinning (2012)
33,NCR,Quezon City,222503.00000000000,"Benigno S. Aquino, Jr. Elementary School",QUEZON CITY,1st,4383.00000000000,35.00000000000,Red,,NCR SECOND DISTRICT,School District XI,School with no Annexes,GPS Pinning (2012)
34,NCR,Quezon City,136522.00000000000,Leopoldo B. Santos ES,QUEZON CITY,2nd,650.00000000000,9.00000000000,Red,Baesa,NCR SECOND DISTRICT,School District VIII,School with no Annexes,GPS Pinning (2012)
35,NCR,Quezon City,136547.00000000000,Payatas A ES,QUEZON CITY,2nd,6175.00000000000,62.00000000000,Red,Payatas A,NCR SECOND DISTRICT,School District XI,School with no Annexes,GPS Pinning (2012)
36,NCR,Quezon City,136548.00000000000,Payatas B ES,QUEZON CITY,2nd,4714.00000000000,20.00000000000,Red,Payatas,NCR SECOND DISTRICT,School District XI,Mother school,GPS Pinning (2012)
37,NCR,Quezon City,136550.00000000000,Payatas C ES,QUEZON CITY,2nd,2851.00000000000,24.00000000000,Red,Payatas,NCR SECOND DISTRICT,School District XI,School with no Annexes,GPS Pinning (2012)
38,NCR,Taguig,136881.00000000000,Bagong Tanyag Elementary School - Annex A,TAGUIG CITY,2nd,1329.00000000000,2.00000000000,Red,SOUTH DAANGHARI,NCR FOURTH DISTRICT,Taguig District II,Annex or Extension school(s),GPS Pinning (2012)
39,NCR,Taguig,136882.00000000000,Bagong Tanyag ES - Annex B,TAGUIG CITY,2nd,1394.00000000000,9.00000000000,Red,SOUTH DAANGHARI,NCR FOURTH DISTRICT,Taguig District II,Annex or Extension school(s),GPS Pinning (2012)
40,NCR,Taguig,136894.00000000000,Capt. H. Francisco ES Annex,PATEROS,1st,442.00000000000,6.00000000000,Red,STA. ANA,NCR FOURTH DISTRICT,Pateros,Annex or Extension school(s),GPS Pinning (2012)
41,NCR,Taguig,136878.00000000000,Tipas Elementary School - Annex,TAGUIG CITY,1st,1296.00000000000,10.00000000000,Red,CALZADA,NCR FOURTH DISTRICT,Taguig District I,Annex or Extension school(s),GPS Pinning (2012)
42,NCR,Valenzuela City,227003.00000000000,Punturin I ES,CITY OF VALENZUELA,1st,1061.00000000000,10.00000000000,Red,Punturin,NCR THIRD DISTRICT,Valenzuela City Central District,Mother school,GPS Pinning (2012)
43,NCR,Valenzuela City,227002.00000000000,Santiago A. de Guzman ES (Gen. T. de Leon ES- Tanada Annex),CITY OF VALENZUELA,2nd,1204.00000000000,21.00000000000,Red,Gen. T. de Leon,NCR THIRD DISTRICT,Valenzuela City East District,Annex or Extension school(s),GPS Pinning (2012)
44,NCR,Caloocan City,319709.00000000000,Bagumbong High School Annex,KALOOKAN CITY,1st,696.00000000000,12.00000000000,Red,Barangay 171,NCR THIRD DISTRICT,Aromar (Aromahan-Marulas),Annex or Extension school(s),GPS Pinning (2012)
45,NCR,Caloocan City,319708.00000000000,AHS-HORACIO DELA COSTA ANNEX,KALOOKAN CITY,,647.00000000000,6.00000000000,Red,Barangay 179,NCR THIRD DISTRICT,Aromar (Aromahan-Marulas),Annex or Extension school(s),GPS Pinning (2012)
46,NCR,Caloocan City,319707.00000000000,Urduja Business High School,KALOOKAN CITY,1st,1011.00000000000,13.00000000000,Red,Barangay 172,NCR THIRD DISTRICT,Aromar (Aromahan-Marulas),School with no Annexes,GPS Pinning (2012)
47,NCR,Las Pi├▒as City,320302.00000000000,CAA NHS Annex,CITY OF LAS PI├æAS,Lone,3015.00000000000,25.00000000000,Red,CAA / BF Int'l Village,NCR FOURTH DISTRICT,Las Pi├▒as City I,Annex or Extension school(s),GPS Pinning (2012)
48,NCR,Las Pi├▒as City,305431.00000000000,Civil Aeronautics Administration (CAA) NHS,CITY OF LAS PI├æAS,Lone,3380.00000000000,18.00000000000,Red,B.F. International Village,NCR FOURTH DISTRICT,Las Pi├▒as City I,Mother school,GPS Pinning (2012)
49,NCR,Las Pi├▒as City,320303.00000000000,Las Pinas NHS - Gatchalian Annex,CITY OF LAS PI├æAS,Lone,954.00000000000,5.00000000000,Red,Manuyo Dos,NCR FOURTH DISTRICT,Las Pi├▒as City I,Annex or Extension school(s),GPS Pinning (2012)
50,NCR,Las Pi├▒as City,320304.00000000000,Las Pinas Science HS,CITY OF LAS PI├æAS,Lone,274.00000000000,9.00000000000,Blue,Talon Dos,NCR FOURTH DISTRICT,Las Pi├▒as City II,School with no Annexes,GPS Pinning (2012)
51,NCR,Las Pi├▒as City,320305.00000000000,T. S. Cruz High School,CITY OF LAS PI├æAS,Lone,1859.00000000000,0.00000000000,Black,,NCR FOURTH DISTRICT,Las Pi├▒as City II,School with no Annexes,GPS Pinning (2012)
52,NCR,Makati City,320003.00000000000,Fort Bonifacio HS - Tibagan HS Annex,CITY OF MAKATI,2nd,1311.00000000000,9.00000000000,Red,Tibagan,NCR FOURTH DISTRICT,Makati City District II,Annex or Extension school(s),GPS Pinning (2012)
53,NCR,Malabon City,320505.00000000000,Catmon IS,CITY OF MALABON,Lone,422.00000000000,0.00000000000,Black,Catmon,NCR THIRD DISTRICT,Malabon District V,School with no Annexes,GPS Pinning (2012)
54,NCR,Malabon City,320506.00000000000,Col. Ramon Camus IS,CITY OF MALABON,Lone,312.00000000000,0.00000000000,Black,San Agustin,NCR THIRD DISTRICT,Malabon District III,School with no Annexes,GPS Pinning (2012)
55,NCR,Malabon City,305447.00000000000,Malabon NHS,CITY OF MALABON,Lone,5454.00000000000,54.00000000000,Red,Hulong Duhat,NCR THIRD DISTRICT,Malabon District I,Mother school,GPS Pinning (2012)
56,NCR,Malabon City,320502.00000000000,Malabon NHS - Concepcion Voc-Tech Annex,CITY OF MALABON,Lone,573.00000000000,10.00000000000,Red,Concepcion,NCR THIRD DISTRICT,Malabon District III,Annex or Extension school(s),GPS Pinning (2012)
57,NCR,Malabon City,320507.00000000000,Tanong IS,CITY OF MALABON,Lone,356.00000000000,0.00000000000,Black,Ta±ong,NCR THIRD DISTRICT,Malabon District II,School with no Annexes,GPS Pinning (2012)
58,NCR,Malabon City,305448.00000000000,Tanong NHS,CITY OF MALABON,Lone,1213.00000000000,8.00000000000,Red,Ta±ong,NCR THIRD DISTRICT,Malabon District II,School with no Annexes,GPS Pinning (2012)
59,NCR,Malabon City,305452.00000000000,Tinajeros NHS,CITY OF MALABON,Lone,3194.00000000000,29.00000000000,Red,Tinajeros,NCR THIRD DISTRICT,Malabon District IV,Mother school,GPS Pinning (2012)
60,NCR,Malabon City,320504.00000000000,Tinajeros NHS - Acacia Annex,CITY OF MALABON,Lone,1244.00000000000,9.00000000000,Red,Acacia,NCR THIRD DISTRICT,Malabon District V,Annex or Extension school(s),GPS Pinning (2012)
61,NCR,Mandaluyong City,319803.00000000000,Eulogio Rodriguez Integ. Sch.,CITY OF MANDALUYONG,Lone,1777.00000000000,17.00000000000,Red,Hagdang Bato,NCR SECOND DISTRICT,Mandaluyong City District I,School with no Annexes,GPS Pinning (2012)
62,NCR,Mandaluyong City,319805.00000000000,Ilaya Barangka Integrated School,CITY OF MANDALUYONG,Lone,351.00000000000,3.00000000000,Red,Barangka Ilaya,NCR SECOND DISTRICT,Mandaluyong City District I,School with no Annexes,GPS Pinning (2012)
63,NCR,Mandaluyong City,319804.00000000000,Jose Fabella Memorial School,CITY OF MANDALUYONG,Lone,676.00000000000,25.00000000000,Blue,,NCR SECOND DISTRICT,Mandaluyong City District I,School with no Annexes,GPS Pinning (2012)
64,NCR,Manila,305308.00000000000,Valeriano E. Fugoso Memorial HS,SAMPALOC,4th,592.00000000000,27.00000000000,Blue,Parang,"MANILA, NCR, FIRST DISTRICT",Tondo I,School with no Annexes,GPS Pinning (2012)
65,NCR,Marikina City,319903.00000000000,Barangka NHS,CITY OF MARIKINA,1st,514.00000000000,0.00000000000,Black,Barangka,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,GPS Pinning (2012)
66,NCR,Marikina City,319902.00000000000,Fortune HS,CITY OF MARIKINA,2nd,2276.00000000000,33.00000000000,Red,Fortune,NCR SECOND DISTRICT,Marikina City District II,School with no Annexes,GPS Pinning (2012)
67,NCR,Marikina City,319904.00000000000,Kalumpang National High School,CITY OF MARIKINA,1st,466.00000000000,0.00000000000,Black,Kalumpang,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,GPS Pinning (2012)
68,NCR,Marikina City,319905.00000000000,San Roque NHS,CITY OF MARIKINA,1st,524.00000000000,0.00000000000,Black,San Roque,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,GPS Pinning (2012)
69,NCR,Marikina City,319906.00000000000,Sto. Nino National High School,CITY OF MARIKINA,Lone,863.00000000000,4.00000000000,Red,Sto. Ni±o,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,GPS Pinning (2012)
70,NCR,Muntinlupa City,320702.00000000000,Muntinlupa Business High School - Sucat Annex,CITY OF MUNTINLUPA,Lone,665.00000000000,7.00000000000,Red,Sucat,NCR FOURTH DISTRICT,Muntinlupa City District II,Annex or Extension school(s),GPS Pinning (2012)
71,NCR,Muntinlupa City,320701.00000000000,Muntinlupa National HS - NBP Annex,CITY OF MUNTINLUPA,Lone,2613.00000000000,13.00000000000,Red,Poblacion,NCR FOURTH DISTRICT,Muntinlupa City District I,Annex or Extension school(s),GPS Pinning (2012)
72,NCR,Paranaque City,320204.00000000000,Sun Valley NHS,CITY OF PARA├æAQUE,2nd,1711.00000000000,33.00000000000,Gold,Sun Valley,NCR FOURTH DISTRICT,Paranaque City District I,School with no Annexes,GPS Pinning (2012)
73,NCR,Pasay City,305364.00000000000,Pasay City North HS - Tramo Campus,PASAY CITY,Lone,1358.00000000000,28.00000000000,Yellow,Brgy. 57,NCR FOURTH DISTRICT,Pasay City North District,Annex or Extension school(s),GPS Pinning (2012)
74,NCR,Quezon City,305320.00000000000,Balingasa HS,QUEZON CITY,1st,1078.00000000000,27.00000000000,Blue,Balingasa,NCR SECOND DISTRICT,School District I,School with no Annexes,GPS Pinning (2012)
75,NCR,Quezon City,319505.00000000000,"Judge Feliciano Belmonte, Sr. HS",QUEZON CITY,2nd,4006.00000000000,24.00000000000,Red,Holy Spirit,NCR SECOND DISTRICT,School District XI,School with no Annexes,GPS Pinning (2012)
76,NCR,Taguig,320607.00000000000,Agripino Manalo National HS (Simplicio Manalo NHS),PATEROS,1st,406.00000000000,0.00000000000,Black,,NCR FOURTH DISTRICT,Pateros,School with no Annexes,GPS Pinning (2012)
77,NCR,Taguig,305462.00000000000,"Gen. Ricardo G. Papa, Sr. Memorial HS Annex",TAGUIG CITY,1st,1562.00000000000,14.00000000000,Red,USUSAN,NCR FOURTH DISTRICT,Taguig District I,Annex or Extension school(s),GPS Pinning (2012)
78,NCR,Taguig,320606.00000000000,Pres. Diosdado Macapagal HS - Signal VNHS Annex,TAGUIG CITY,2nd,2318.00000000000,27.00000000000,Red,BRGY KATUPARAN,NCR FOURTH DISTRICT,Taguig District I,Annex or Extension school(s),GPS Pinning (2012)
79,NCR,Taguig,320601.00000000000,Taguig Science HS,TAGUIG CITY,1st,780.00000000000,5.00000000000,Red,HAGONOY,NCR FOURTH DISTRICT,Taguig District I,School with no Annexes,GPS Pinning (2012)
80,NCR,Valenzuela City,320406.00000000000,Canumay East NHS,CITY OF VALENZUELA,1st,738.00000000000,9.00000000000,Red,Canumay East,NCR THIRD DISTRICT,Valenzuela City Central District,School with no Annexes,GPS Pinning (2012)
81,NCR,Valenzuela City,320408.00000000000,DALANDANAN NHS- Bagbaguin Annex,CITY OF VALENZUELA,1st,639.00000000000,0.00000000000,Black,,NCR THIRD DISTRICT,Valenzuela City Central District,Annex or Extension school(s),GPS Pinning (2012)
82,NCR,Valenzuela City,305443.00000000000,Gen. T. del Leon NHS,CITY OF VALENZUELA,2nd,5532.00000000000,55.00000000000,Red,Gen. T. de Leon,NCR THIRD DISTRICT,Valenzuela City Central District,School with no Annexes,GPS Pinning (2012)
83,NCR,Valenzuela City,320407.00000000000,Valenzuela NHS-Wawang Pulo Annex,CITY OF VALENZUELA,1st,423.00000000000,4.00000000000,Red,Wawangpulo,NCR THIRD DISTRICT,Valenzuela City Central District,Annex or Extension school(s),GPS Pinning (2012)
84,Region XI,Compostela Valley,128507.00000000000,C.M. Recto ES,NABUNTURAN (Capital),2nd,268.00000000000,5.00000000000,Gold,Magsaysay,COMPOSTELA VALLEY,Nabunturan West,School with no Annexes,GPS Unit - SMU (2011-12)
85,Region XI,Compostela Valley,128466.00000000000,Linoan ES,MONTEVISTA,1st,427.00000000000,14.00000000000,Blue,Linoan,COMPOSTELA VALLEY,Montevista,School with no Annexes,GPS Unit - SMU (2011-12)
86,Region XI,Compostela Valley,304202.00000000000,Montevista NHS,MONTEVISTA,1st,1368.00000000000,26.00000000000,Gold,San Jose,COMPOSTELA VALLEY,Montevista,School with no Annexes,GPS Unit - SMU (2011-12)
87,Region XI,Compostela Valley,128471.00000000000,Montevista CES,MONTEVISTA,1st,1503.00000000000,37.00000000000,Blue,San Jose,COMPOSTELA VALLEY,Montevista,School with no Annexes,GPS Unit - SMU (2011-12)
88,Region XI,Compostela Valley,128474.00000000000,New Visayas ES,MONTEVISTA,1st,460.00000000000,9.00000000000,Gold,New Visayas,COMPOSTELA VALLEY,Montevista,School with no Annexes,GPS Unit - SMU (2011-12)
89,Region XI,Compostela Valley,128272.00000000000,Osmena ES,COMPOSTELA,1st,614.00000000000,9.00000000000,Red,Osme±a,COMPOSTELA VALLEY,Compostela,School with no Annexes,GPS Unit - SMU (2011-12)
90,Region XI,Compostela Valley,128511.00000000000,Bantacan ES,NEW BATAAN,1st,460.00000000000,17.00000000000,Blue,Bantacan,COMPOSTELA VALLEY,New Bataan,School with no Annexes,GPS Unit - SMU (2011-12)
91,Region XI,Compostela Valley,304177.00000000000,Bantacan NHS,NEW BATAAN,1st,425.00000000000,12.00000000000,Blue,Bantacan,COMPOSTELA VALLEY,New Bataan,School with no Annexes,GPS Unit - SMU (2011-12)
92,Region XI,Compostela Valley,128528.00000000000,San Roque ES,NEW BATAAN,1st,160.00000000000,8.00000000000,Blue,San Roque,COMPOSTELA VALLEY,New Bataan,School with no Annexes,GPS Unit - SMU (2011-12)
93,Region XI,Compostela Valley,315814.00000000000,Andap NHS,NEW BATAAN,1st,264.00000000000,5.00000000000,Gold,Andap,COMPOSTELA VALLEY,New Bataan,School with no Annexes,GPS Unit - SMU (2011-12)
94,Region XI,Compostela Valley,128510.00000000000,Andap ES,NEW BATAAN,1st,441.00000000000,13.00000000000,Blue,Andap,COMPOSTELA VALLEY,New Bataan,School with no Annexes,GPS Unit - SMU (2011-12)
95,Region XI,Compostela Valley,304206.00000000000,New Bataan NHS,NEW BATAAN,1st,1218.00000000000,28.00000000000,Blue,Cabinuangan,COMPOSTELA VALLEY,New Bataan,School with no Annexes,GPS Unit - SMU (2011-12)
96,Region XI,Compostela Valley,128514.00000000000,Cabinuangan CES,NEW BATAAN,1st,1735.00000000000,49.00000000000,Blue,Cabinuangan,COMPOSTELA VALLEY,New Bataan,School with no Annexes,GPS Unit - SMU (2011-12)
97,Region XI,Compostela Valley,128267.00000000000,Mangayon ES,COMPOSTELA,1st,571.00000000000,12.00000000000,Yellow,Mangayon,COMPOSTELA VALLEY,Compostela,School with no Annexes,GPS Unit - SMU (2011-12)
98,Region XI,Compostela Valley,304182.00000000000,Mangayon NHS,COMPOSTELA,1st,337.00000000000,6.00000000000,Red,Mangayon,COMPOSTELA VALLEY,Compostela,School with no Annexes,GPS Unit - SMU (2011-12)
99,Region XI,Compostela Valley,128265.00000000000,Lagab ES,COMPOSTELA,1st,268.00000000000,6.00000000000,Blue,Lagab,COMPOSTELA VALLEY,Compostela,School with no Annexes,GPS Unit - SMU (2011-12)
100,Region XI,Panabo City,129784.00000000000,Panabo CES,CITY OF PANABO,2nd,1888.00000000000,39.00000000000,Yellow,San Francisco,DAVAO DEL NORTE,Panabo Central,School with no Annexes,GPS Unit - SMU (2011-12)
101,Region XI,Panabo City,129785.00000000000,Rizal ES,CITY OF PANABO,2nd,3341.00000000000,55.00000000000,Red,San Francisco,DAVAO DEL NORTE,Panabo Central,School with no Annexes,GPS Unit - SMU (2011-12)
102,Region XI,Panabo City,129783.00000000000,Gredu ES,CITY OF PANABO,2nd,1471.00000000000,26.00000000000,Red,Gredu,DAVAO DEL NORTE,Panabo Central,School with no Annexes,GPS Unit - SMU (2011-12)
103,Region XI,Davao Oriental,205504.00000000000,Rabat-Rocamora Mati Central SPED Sch.,CITY OF MATI (Capital),2nd,756.00000000000,18.00000000000,Blue,Central,DAVAO ORIENTAL,Mati Central,School with no Annexes,GPS Unit - SMU (2011-12)
104,CARAGA,Butuan City,304756.00000000000,Agusan NHS,BUTUAN CITY (Capital),1st,9037.00000000000,96.00000000000,Red,DIEGO SILANG,AGUSAN DEL NORTE,Central Butuan District I,School with no Annexes,GPS Unit - SMU (2011-12)
105,Region X,Lanao del Norte,126975.00000000000,Bagong Dawis ES,BAROY,1st,205.00000000000,9.00000000000,Blue,Bag-ong Dawis,LANAO DEL NORTE,Baroy,School with no Annexes,GPS Unit - SMU (2011-12)
106,Region X,Lanao del Norte,127002.00000000000,Balili Central ES,KAPATAGAN,2nd,626.00000000000,13.00000000000,Yellow,Balili,LANAO DEL NORTE,Kapatagan West,School with no Annexes,GPS Unit - SMU (2011-12)
107,Region X,Lanao del Norte,127003.00000000000,Bansarvil ES,KAPATAGAN,2nd,308.00000000000,8.00000000000,Blue,Bansarvil,LANAO DEL NORTE,Kapatagan West,School with no Annexes,GPS Unit - SMU (2011-12)
108,NCR,Marikina City,136671.00000000000,Barangka ES,CITY OF MARIKINA,1st,1932.00000000000,35.00000000000,Gold,Barangka,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,GPS Unit - SMU (2011-12)
109,Region VI,Iloilo,116358.00000000000,Cabasi-Sta. Rosa ES,GUIMBAL,1st,524.00000000000,15.00000000000,Blue,SANTA ROSA-LAGUNA,ILOILO,Guimbal,School with no Annexes,GPS Unit - SMU (2011-12)
110,Region X,Lanao del Norte,127004.00000000000,Carusa ES,KAPATAGAN,2nd,181.00000000000,5.00000000000,Blue,Pulang Yuta,LANAO DEL NORTE,Kapatagan West,School with no Annexes,GPS Unit - SMU (2011-12)
111,Region IV-A,Laguna,108217.00000000000,Dela Paz Main ES,CITY OF BI├æAN,1st,2273.00000000000,45.00000000000,Yellow,DELA PAZ,LAGUNA,Bi├▒an,School with no Annexes,GPS Unit - SMU (2011-12)
112,Region IV-A,Laguna,108218.00000000000,Dela Paz West ES,CITY OF BI├æAN,1st,1247.00000000000,22.00000000000,Red,DELA PAZ,LAGUNA,Bi├▒an,School with no Annexes,GPS Unit - SMU (2011-12)
113,Region X,Lanao del Norte,127007.00000000000,Kahayagan PS,KAPATAGAN,2nd,122.00000000000,1.00000000000,Red,Kahayagan,LANAO DEL NORTE,Kapatagan West,School with no Annexes,GPS Unit - SMU (2011-12)
114,Region X,Lanao del Norte,127073.00000000000,Lala Proper ES,LALA,2nd,719.00000000000,23.00000000000,Blue,Lala Proper,LANAO DEL NORTE,Lala North,School with no Annexes,GPS Unit - SMU (2011-12)
115,Region X,Lanao del Norte,127008.00000000000,La Libertad ES,KAPATAGAN,2nd,156.00000000000,3.00000000000,Gold,La Libertad,LANAO DEL NORTE,Kapatagan West,School with no Annexes,GPS Unit - SMU (2011-12)
116,Region IV-A,Laguna,108219.00000000000,Dr. M. Z. Batista MES,CITY OF BI├æAN,1st,1147.00000000000,18.00000000000,Red,SAN JOSE,LAGUNA,Bi├▒an,School with no Annexes,GPS Unit - SMU (2011-12)
117,Region XI,Davao Oriental,129225.00000000000,San Luis ES,CARAGA,1st,324.00000000000,9.00000000000,Blue,San Luis,DAVAO ORIENTAL,Caraga North,School with no Annexes,GPS Pinning (2012)
118,Region XI,Davao Oriental,304339.00000000000,Tarragona NHS,TARRAGONA,1st,909.00000000000,13.00000000000,Red,Central,DAVAO ORIENTAL,Tarragona,Mother school,GPS Pinning (2012)
119,Region XI,Davao Oriental,304306.00000000000,Calapagan NHS,LUPON,2nd,259.00000000000,8.00000000000,Blue,Calapagan,DAVAO ORIENTAL,Lupon East,Mother school,GPS Pinning (2012)
